[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
[40.00144584],[1.07007433]
